id,original_title,cast,director,genres,production_companies,keywords,release_year
440767,Trevor Noah: Afraid of the Dark,['trevornoah'],['davidpaulmeyer'],['comedy'],['netflix'],['standupcomedy'],2017
371741,Ali and Nino,"['adambakri', 'maríavalverde', 'mandypatinkin']",['asifkapadia'],"['drama', 'romance']","['peapiefilms', 'azcelticfilms']",['romanticdrama'],2016
413778,Paris pieds nus,"['fionagordon', 'dominiqueabel', 'emmanuelleriva']","['fionagordon', 'dominiqueabel']",['comedy'],"['moteursilvousplaît', 'cgcinéma', 'couragemonamour']","['paris', 'womandirector']",2017
444705,Dave Chappelle: The Age of Spin,['davechappelle'],['stanlathan'],['comedy'],['stanlathantv'],"['standupcomedy', 'comedy']",2017
408435,Sameblod,"['lenececiliasparrok', 'miasparrok', 'majdorisrimpi']",['amandakernell'],['drama'],"['bautafilm', 'nordiskfilmproductionsverigeab']","['identity', 'lapland', 'boardingschool']",2017
444193,The Evil Within,"['fredkoehler', 'seanpatrickflanery', 'briannabrown']",['andrewgetty'],['horror'],"['visionfilms', 'writersstudiothe', 'supernovallc']","['demon', 'animatronic']",2017
415255,Secreto Matusita,"['brunoespejo', 'lupitamora', 'eduardoramos']",['dorianfernándezmoris'],"['horror', 'mystery', 'thriller']",['avfilms'],"['hauntedhouse', 'haunting', 'ghost']",2014
396810,The Last Word,"['shirleymaclaine', 'amandaseyfried', 'anneheche']",['markpellington'],"['comedy', 'drama']","['myriadpictures', 'parksidepictures', 'wondros', 'franklinstreet']","['suicideattempt', 'vandalism', 'friendship']",2017
417644,CHiPS,"['michaelpeña', 'daxshepard', 'jessicamcnamee']",['daxshepard'],"['action', 'comedy', 'crime']","['warnerbros', 'primatepictures']","['police', 'basedontvseries', 'losangeles']",2017
353569,Table 19,"['annakendrick', 'craigrobinson', 'junesquibb']",['jeffreyblitz'],"['comedy', 'drama']","['21lapsentertainment', '3311productions', 'storyink']","['misfit', 'weddingreception', 'wedding']",2017
353070,Going in Style,"['morganfreeman', 'michaelcaine', 'alanarkin']",['zachbraff'],"['crime', 'comedy', 'drama']","['newlinecinema', 'villageroadshowpictures', 'delinepictures', 'warnerbros', 'ratpacduneentertainment']","['retiree', 'bankrobbery', 'retired']",2017
352501,All Nighter,"['jksimmons', 'analeightipton', 'emilehirsch']",['gavinwiesen'],['comedy'],"['springpictures', 'wingandaprayerpictures', 'greenhummingbirdentertainment']","['workaholic', 'exboyfriend', 'banjo']",2017
401743,The Most Hated Woman in America,"['melissaleo', 'joshlucas', 'michaelchernus']",['tommyohaver'],"['crime', 'drama']","['brownstoneproductions', 'netflix']",['biography'],2017
329135,ஓ காதல் கண்மணி,"['dulquersalmaan', 'nithyamenen', 'prakashraj']",['maniratnam'],"['drama', 'family', 'romance']","['madrastalkies', 'studiogreen']","['livingtogether', 'love', 'openrelationship']",2015
403390,Bitter Harvest,"['maxirons', 'samanthabarks', 'terencestamp']",['georgemendeluk'],"['war', 'drama', 'history']","['pandastormpictures', 'devilsharvestproduction', 'andamarentertainment']","['ukraine', 'ukrainianvillage', 'holodomor']",2017
418718,Esteros,"['ignaciorogers', 'estebanmasturini', 'joaquínparada']",['papucurotto'],"['comedy', 'drama', 'romance']","['metalunaproductions', 'latinaestúdio']","['gay', 'socialcontrol', 'friendship']",2016
362617,Novatos,"['nicoláscoronado', 'lucíaramos', 'alejandraonieva']",['pabloaragüés'],['drama'],"['martacabrera', 'horizonte6quince']","['college', 'novatadas']",2015
326198,A cambio de nada,"['miguelherrán', 'antoniobachiller', 'antoniaguzmán']",['danielguzmán'],['drama'],"['ululafilms', 'elniñoproducciones', 'lacompetencia', 'lamiradaoblicua']","['adolescence', 'drama', 'familydrama']",2015
342684,Vulcania,"['auragarrido', 'rubénochandiano', 'josésacristán']",['joséskaf'],"['sciencefiction', 'thriller']","['televisiódecatalunyatv3', 'ranentertainment', 'radiotelevisiónespañolartve']","['supernatural', 'thriller']",2015
359413,Aurélie Laflamme: Les pieds sur terre,"['marianneverville', 'édithcochrane', 'genevievechartrand']",['nicolasmonette'],['comedy'],['téléfictiondistribution'],"['quebec', 'highschool', 'teenmovie']",2015
353725,Les êtres chers,"['maximgaudette', 'karelletremblay', 'valeriecadieux']",['anneémond'],['drama'],['metafilms'],"['suicide', 'depression', 'quebec']",2015
429450,판도라,"['kimnamgil', 'kimyoungae', 'moonjeonghee']",['parkjungwoo'],"['thriller', 'drama', 'action']",['new'],['disaster'],2016
137116,Smurfs: The Lost Village,"['juliaroberts', 'arielwinter', 'elliekemper']",['kellyasbury'],"['adventure', 'animation', 'comedy']","['columbiapictures', 'sonypicturesanimation', 'kernerentertainmentcompany']","['sequel', 'kids']",2017
376134,The Discovery,"['jasonsegel', 'rooneymara', 'robertredford']",['charliemcdowell'],"['drama', 'romance', 'sciencefiction']","['endgameentertainment', 'protagonistpictures', 'netflix']","['suicide', 'lifeafterdeath', 'lovestory']",2017
429662,Viceroy's House,"['hughbonneville', 'gilliananderson', 'michaelgambon']",['gurinderchadha'],"['drama', 'history']","['bbcfilms', 'benditfilms', 'pathé']","['independence', 'religiousconflict', 'colonialindia']",2017
446076,嫌疑人X的献身,"['nickwang', 'zhangluyi', 'rubylin']",['alecsu'],"['mystery', 'thriller']",['beijingenlightpictures'],['basedonnovel'],2017
289222,The Zookeeper's Wife,"['jessicachastain', 'johanheldenbergh', 'danielbrühl']",['nikicaro'],"['drama', 'history']","['scionfilms', 'ldentertainment', 'czechangloproductions']","['holocaust', 'worldwarii', 'nazis']",2017
440777,Female Fight Club,"['amyjohnston', 'cortneypalm', 'reygoyos']",['miguelaferrer'],"['drama', 'action']","['cineville', 'parksidepictures', 'tadrossmediagroup', 'ffcproduction']","['women', 'fighting']",2017
305642,Ithaca,"['samshepard', 'hamishlinklater', 'alexneustaedter']",['megryan'],['drama'],"['bronstudios', 'pilothousepictures', 'applelaneproductions']","['basedonnovel', 'womandirector']",2015
430419,Lone Wolves,"['danpurdey', 'warrenotteraa', 'alanatranter']",['christopherjacobs'],"['action', 'sciencefiction']",['longviewpictures'],"['monster', 'spacestation', 'postapocalypse']",2016
331392,Eloise,"['elizadushku', 'robertpatrick', 'chacecrawford']",['robertlegato'],"['horror', 'mystery', 'thriller']","['palmdriveproductions', 'buyherepayhereentertainment', 'slamproductions']","['michigan', 'insaneasylum', 'inheritance']",2017
400928,Gifted,"['chrisevans', 'mckennagrace', 'lindsayduncan']",['marcwebb'],['drama'],"['foxsearchlightpictures', 'filmnationentertainment', 'daydayfilms', 'gradeaentertainment']","['cat', 'intellectuallygifted', 'childprodigy']",2017
399615,Ataúd blanco: El juego diabólico,"['julietacardinali', 'rafaelferro', 'eleonorawexler']",['danieldelavega'],"['thriller', 'horror', 'action']",['deltorofilms'],"['desperation', 'kidnapping', 'ritual']",2016
408647,Teen Titans: The Judas Contract,"['stuartallan', 'jaketaustin', 'taissafarmiga']",['samliu'],"['sciencefiction', 'animation', 'action']","['dccomics', 'warnerbrosanimation', 'dcentertainment']","['dccomics', 'superhero', 'basedoncomic']",2017
449674,Louis C.K. 2017,['louisck'],['louisck'],['comedy'],['netflix'],['standupcomedy'],2017
368006,24,"['suriya', 'samanthaakkineni', 'nithyamenen']",['vikramkumar'],"['action', 'sciencefiction', 'thriller']","['studiogreen', '2dentertainment']",['timetravel'],2016
449863,Cantábrico: Los dominios del oso pardo,['carlosdehita'],['joaquíngutiérrezacha'],['documentary'],"['wandafilms', 'bitis']",['naturaleza'],2017
390051,Aftermath,"['arnoldschwarzenegger', 'scootmcnairy', 'maggiegrace']",['elliottlester'],"['drama', 'thriller']","['ingeniousmedia', 'protozoapictures', 'thefyzz', 'oakproductions', 'emmettfurlaoasisfilmsefofilms', 'pacificviewmanagement', 'unioneditorial', 'hatandcatproductions']","['airport', 'depression', 'secret']",2017
