id,popularity,original_title,cast,director,genres,production_companies,vote_average,keywords
266647,2.234573,[7371],"[15565, 2078, 472]",[3073],"[6, 10, 11]","[15, 3857, 23195]",5.9,"[498, 63, 577]"
347096,2.165433,"[5317, 11745]","[5805, 1569, 8382]",[6404],"[3, 6, 11]",[3159],5.1,"[733, 63, 3979]"
308369,2.141506,"[11746, 4129, 144]","[5806, 15566, 4414]",[21036],"[2, 1]",[1664],7.7,"[742, 54, 11112]"
227973,2.140199,"[7372, 111]","[15567, 4415, 15568]",[6405],"[6, 13, 2]","[1665, 1473, 10338]",6.4,"[279, 10, 1060]"
321741,2.121884,[7373],"[583, 15569, 5807]",[9695],[1],"[61, 216, 4925]",6.9,"[247, 7373, 38]"
296100,2.096273,[83],"[693, 638, 2440]",[4762],[2],"[1169, 10342, 4926]",6.1,"[957, 558, 559]"
263472,2.0809349999999998,"[5318, 5318]","[255, 8383, 15570]",[3749],"[1, 5, 4]","[23196, 10343, 10344]",4.8,"[32, 22, 2278]"
228205,2.070708,"[3343, 1346]","[15571, 3506, 4416]",[3750],"[7, 1]","[134, 1908]",7.3,"[18, 26979, 1552]"
159824,2.060162,"[105, 1718]","[299, 3514, 1791]",[9696],"[13, 2, 10]","[21, 1170]",6.8,"[1718, 105, 79]"
333348,2.055572,"[41, 11747]","[271, 363, 272]",[6406],"[10, 2]","[121, 1911, 1474]",5.3,"[3261, 1688, 10]"
285783,2.049886,[1347],"[693, 317, 15572]",[768],"[6, 1, 4]","[35, 3160, 3858]",6.8,"[169, 2279, 291]"
290764,2.0266509999999998,[11748],"[15573, 2079, 8384]",[21037],"[3, 8, 1]","[1908, 23197, 23198]",5.9,"[5124, 11113, 558]"
296099,2.000338,[875],"[2886, 1003, 15574]","[9232, 21038]","[6, 2]","[26, 1045, 23199]",6.1,"[11114, 11115, 2848]"
243688,1.984529,[1984],"[641, 2887, 8385]",[6407],"[5, 4]","[945, 394, 29]",5.0,"[1984, 322, 148]"
287424,1.9800389999999999,[11749],"[281, 1392, 3515]",[21039],[5],"[96, 1912, 6704]",5.1,"[234, 70, 129]"
301875,1.9597650000000002,[11750],"[505, 2080, 388]",[6408],"[1, 7, 9]","[216, 10340, 10345]",5.6,"[11116, 7051, 7052]"
181283,1.95632,[1211],"[1388, 364, 3516]",[9697],"[8, 4]","[113, 216, 1171]",5.9,"[18, 2679, 2280]"
328425,1.926739,[2337],"[750, 1570, 1792]",[1792],"[4, 12]","[289, 23200, 23201]",6.6,"[50, 1186, 2337]"
274167,1.904898,"[7374, 208]","[365, 301, 5808]",[4763],[2],"[16, 1046, 4926]",5.7,[26980]
370687,1.876037,"[5317, 11751]","[5805, 8382, 1569]",[21040],"[11, 3, 6]","[3159, 23202, 23203]",5.4,"[733, 63, 3979]"
307663,1.872696,[3344],"[8386, 824, 3517]",[4764],"[4, 9, 3]","[1912, 2615, 946]",4.1,"[246, 396, 26981]"
309809,1.865007,"[117, 294]","[230, 691, 534]",[9698],"[6, 13, 11]","[23204, 10346, 23205]",7.5,"[1689, 7051, 253]"
258509,1.841779,"[4130, 4131, 461]","[1250, 825, 5809]",[3751],"[6, 13, 2]","[56, 134, 2616]",5.7,"[7053, 5125, 5126]"
298382,1.82313,[7375],"[360, 1562, 8387]",[6409],[1],"[10347, 23206, 23207]",6.9,"[18, 357, 7375]"
272693,1.758618,[11752],"[1393, 5810, 5809]",[21041],"[7, 2]","[2617, 1474, 23208]",6.8,"[54, 156, 26982]"
283445,1.742286,[7376],"[2081, 4417, 15575]",[9699],[5],"[947, 289, 1172]",5.5,"[322, 47, 975]"
256961,1.73518,"[5319, 7377, 7378]","[2082, 15576, 15577]",[4765],"[3, 6, 2]","[21, 257, 6705]",5.3,"[5127, 3262, 3980]"
326359,1.7247119999999898,"[3345, 1719]","[1394, 8388, 8389]","[4766, 9700]","[6, 13, 10]","[27, 484]",7.0,"[157, 525, 878]"
254302,1.661789,[11753],"[1793, 1391, 440]",[4767],"[3, 1, 9]","[948, 1047, 4927]",5.4,"[668, 18, 2279]"
241251,1.6510779999999898,"[170, 727, 1985]","[584, 5811, 15578]",[1876],[4],"[14, 10348, 289]",3.9,"[90, 32, 22]"
292040,1.646664,"[11754, 7379, 223]","[5812, 3518, 5798]",[6410],"[4, 3]","[75, 719, 10349]",5.6,"[71, 186, 3981]"
188222,1.532997,[11755],"[4418, 8390, 8391]",[21042],[2],"[15, 23209]",6.2,"[85, 741, 7054]"
252838,1.5100959999999999,"[261, 5320]","[2083, 8392, 5813]",[21043],[2],"[37, 168, 4925]",6.5,"[957, 26983, 261]"
273477,1.499614,"[11756, 4132, 129]","[4419, 8393, 15579]",[6411],"[2, 5]","[16, 23210, 4928]",6.2,"[32, 814, 66]"
298312,1.495112,[11757],"[15580, 8394, 2888]",[1877],"[5, 4]","[289, 3161]",5.9,"[721, 2680, 153]"
261023,1.4832459999999899,"[137, 5321]","[161, 1792, 3519]",[6412],"[8, 1]","[3859, 1666, 2614]",6.3,"[687, 291, 1690]"
336004,1.449072,[791],"[3507, 99, 1251]",[9701],"[8, 3, 4]","[946, 23211, 23212]",5.4,"[268, 77, 11117]"
287903,1.448002,[7380],"[2441, 642, 15581]",[9702],"[5, 2, 11]","[14, 233]",5.9,"[102, 431, 560]"
182560,1.443406,"[138, 5322]","[359, 2080, 2442]",[9703],"[1, 12, 4]","[6706, 2221, 2222]",5.7,"[36, 18, 153]"
192141,1.41239,[295],"[350, 2084, 283]",[4768],"[3, 4]","[1048, 3860, 23213]",6.7,"[105, 1554, 3263]"
308639,1.40805,[11758],"[15582, 15583, 8395]",[9704],"[8, 1, 2]","[10350, 23214, 23215]",7.3,"[132, 958, 5128]"
261392,1.3882510000000001,"[118, 11759]","[826, 505, 2889]",[9705],"[2, 3]","[23216, 1667, 1301]",5.9,"[5129, 5401, 11118]"
304357,1.388032,"[462, 519]","[439, 387, 15584]",[9706],[1],"[75, 10351]",7.3,"[346, 291, 981]"
297291,1.38032,"[3346, 262, 296]","[15585, 15586, 4420]",[9707],"[3, 11, 6]",[14],4.5,"[63, 11, 5130]"
266294,1.3766049999999999,[1986],"[2443, 2880, 585]",[9708],[2],[23217],5.9,"[157, 11119]"
227719,1.360926,"[1720, 11760]","[8396, 15587, 15588]",[21044],"[9, 4]","[16, 485, 1475]",6.3,"[222, 5131, 156]"
